ts	kind	context	route	action	status	url	artifact
2026-04-13T20:18:33.034Z	visual	desktop	/landing			http://127.0.0.1:3001/landing	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/visual_desktop_landing.png
2026-04-13T20:18:33.034Z	interaction_nav	desktop	/landing	Pricing	clicked	http://127.0.0.1:3001/landing	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/interaction_nav_landing.png
2026-04-13T20:18:33.034Z	interaction_cta	desktop	/landing	Join Waitlist	clicked	http://127.0.0.1:3001/landing	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/interaction_cta_landing.png
2026-04-13T20:18:46.977Z	visual	desktop	/pricing			http://127.0.0.1:3001/pricing	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/visual_desktop_pricing.png
2026-04-13T20:18:46.977Z	interaction_nav	desktop	/pricing	Pricing	clicked	http://127.0.0.1:3001/pricing	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/interaction_nav_pricing.png
2026-04-13T20:18:46.977Z	interaction_cta	desktop	/pricing	Pro access	clicked	http://127.0.0.1:3001/pricing	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/interaction_cta_pricing.png
2026-04-13T20:18:49.802Z	visual	desktop	/pro			http://127.0.0.1:3001/pro	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/visual_desktop_pro.png
2026-04-13T20:18:49.802Z	interaction_nav	desktop	/pro	[none]	no_target	http://127.0.0.1:3001/pro	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/interaction_nav_pro.png
2026-04-13T20:18:49.802Z	interaction_cta	desktop	/pro	Pro 시작하기	clicked	http://127.0.0.1:3001/pro	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/interaction_cta_pro.png
2026-04-13T20:18:52.871Z	visual	desktop	/faq			http://127.0.0.1:3001/faq	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/visual_desktop_faq.png
2026-04-13T20:18:52.871Z	interaction_nav	desktop	/faq	Pricing	clicked	http://127.0.0.1:3001/pricing	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/interaction_nav_faq.png
2026-04-13T20:18:52.871Z	interaction_cta	desktop	/faq	Install	clicked	http://127.0.0.1:3001/install	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/interaction_cta_faq.png
2026-04-13T20:18:57.777Z	visual	desktop	/install			http://127.0.0.1:3001/install	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/visual_desktop_install.png
2026-04-13T20:18:57.777Z	interaction_nav	desktop	/install	Pricing	clicked	http://127.0.0.1:3001/pricing	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/interaction_nav_install.png
2026-04-13T20:18:57.777Z	interaction_cta	desktop	/install	Install	clicked	http://127.0.0.1:3001/install	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/interaction_cta_install.png
2026-04-13T20:19:00.977Z	visual	mobile	/landing			http://127.0.0.1:3001/landing	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/visual_mobile_landing.png
2026-04-13T20:19:02.970Z	visual	mobile	/pricing			http://127.0.0.1:3001/pricing	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/visual_mobile_pricing.png
2026-04-13T20:19:04.583Z	visual	mobile	/pro			http://127.0.0.1:3001/pro	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/visual_mobile_pro.png
2026-04-13T20:19:06.257Z	visual	mobile	/faq			http://127.0.0.1:3001/faq	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/visual_mobile_faq.png
2026-04-13T20:19:07.979Z	visual	mobile	/install			http://127.0.0.1:3001/install	/home/hugh51/musu-functions/artifacts/mus1688-g2-reentry-20260414T051130+0900/visual_mobile_install.png
